Token                          Frequency
-----------------------------  ---------
attended                               1
for                                    1
college                                1
received                               1
shortly                                1
of                                     7
briefly                                1
social                                 3
criminal                               1
she                                    7
began                                  2
2011                                   1
on                                     1
her                                    2
fraudster                              1
carry                                  1
thousands                              1
thereafter                             1
information                            1
once                                   1
california                             1
companies                              3
again                                  1
number                                 3
admitted                               1
health                                 2
calls                                  1
receiving                              1
many                                   1
not                                    1
obtain                                 2
them                                   1
then                                   1
professor                              4
bankruptcy                             1
assumed                                1
computer                               1
use                                    1
16                                     1
claiming                               1
identity                               1
heard                                  1
—                                      2
arizona                                1
money                                  1
investigating                          1
stolen                                 1
similar                                1
belonging                              1
documents                              1
dollars                                1
a                                      9
obtaining                              1
loans                                  2
prison                                 2
sums                                   1
mix-up                                 1
utility                                2
owed                                   1
telephone                              1
filed                                  1
qualified                              1
to                                    10
transactions                           1
$13,928                                1
both                                   1
identifiers                            1
by                                     1
same                                   1
fraud                                  2
consumer                               1
used                                   2
restitution                            1
amount                                 1
fbi                                    1
after                                  1
sent                                   1
were                                   2
contacted                              1
graduated                              1
student                                1
schools                                2
woman                                  2
applications                           1
credit                                 1
had                                    3
key                                    1
administered                           1
financial                              1
victim                                 2
georgia                                1
$5,000                                 1
and                                    6
clubs                                  2
that                                   6
company                                1
due                                    1
examiners                              1
example                                1
case                                   1
included                               1
make                                   1
english                                1
large                                  1
other                                  1
can                                    1
through                                1
from                                   2
security                               3
1.1760                                 1
was                                    4
another                                1
federal                                1
order                                  1
name                                   2
sentenced                              1
pay                                    2
defendant                              2
fine                                   1
receive                                1
all                                    1
is                                     2
with                                   1
university                             1
it                                     1
at                                     1
the                                   14
addition                               1
women                                  1
in                                     8
manual                                 1
never                                  1
months                                 1
which                                  1
term                                   1
ordered                                1
an                                     1
also                                   1

Totals:                    138       233
