Token                          Frequency
-----------------------------  ---------
to                                     4
might                                  1
phone                                  1
subject                                1
customer                               1
recent                                 1
has                                    1
been                                   1
of                                     2
although                               1
friends                                1
corporations                           1
are                                    1
area                                   1
if                                     2
any                                    1
nonprofit                              1
sure                                   1
be                                     1
unlisted                               1
information                            1
is                                     2
with                                   1
trend                                  1
check                                  2
or                                     2
companies                              2
number                                 2
available                              1
the                                    6
addition                               1
access                                 1
in                                     2
restrict                               1
many                                   1
that                                   1
utility                                5
see                                    1
what                                   1
names                                  1
contain                                1
company                                2
even                                   1
relatives                              1
records                                3
municipalities                         1

Totals:                     46        69
