Token                          Frequency
-----------------------------  ---------
likewise                               1
for                                    1
initiates                              1
turning                                1
of                                     4
over                                   1
given                                  1
criminal                               2
report                                 3
only                                   1
on                                     1
2011                                   1
copy                                   1
information                            7
or                                     2
he                                     1
not                                    3
then                                   1
attorney                               1
2.727                                  1
some                                   1
outside                                1
waiver                                 1
subject                                1
before                                 1
courts                                 1
giving                                 1
ensure                                 1
held                                   1
may                                    3
submits                                1
documents                              2
a                                      2
should                                 2
including                              1
waived                                 4
gathered                               2
based                                  1
produce                                1
relating                               1
to                                    10
but                                    1
attorney-client                        1
provide                                1
communicating                          1
investigator                           3
by                                     1
same                                   1
used                                   1
fraud                                  1
who                                    1
requests                               1
his                                    1
results                                1
basic                                  1
any                                    1
care                                   1
taken                                  1
investigation                          4
instance                               1
be                                     5
shared                                 1
such                                   1
team                                   1
that                                   2
company                                1
proceedings                            1
examiners                              1
require                                1
example                                1
enforcement                            3
other                                  1
have                                   2
prosecutor                             1
evidence                               1
subpoenaed                             1
writing                                1
considered                             1
findings                               1
during                                 2
if                                     4
able                                   1
defendant                              1
members                                1
all                                    1
law                                    4
with                                   1
is                                     4
matter                                 1
as                                     1
the                                   19
principles                             1
in                                     3
manual                                 1
anyone                                 1
an                                     5
privilege                              4
inadvertently                          1
special                                1
consulted                              1
also                                   1

Totals:                    101       184
