Token                          Frequency
-----------------------------  ---------
to                                     1
publishers                             1
for                                    1
westlaw                                2
filings                                1
change                                 1
visit                                  1
contains                               1
its                                    1
consumer                               1
people                                 1
sources                                1
of                                     2
more                                   1
www.westlaw.com                        1
directories                            1
comprehensive                          1
on                                     1
credit                                 1
information                            2
household                              1
death                                  1
numerous                               1
finder                                 1
header                                 1
and                                    5
records                                4
legal                                  1
mailing                                1
state                                  1
data                                   3
voter                                  1
collection                             1
from                                   1
online                                 1
real                                   1
federal                                1
current                                1
driver                                 1
license                                1
lists                                  1
individuals                            1
files                                  1
is                                     1
it                                     1
a                                      1
provides                               1
registration                           1
access                                 1
demographic                            1
research                               1
database                               1
including                              1
utility                                1
address                                1
directory                              1
an                                     1
compiled                               1
service                                1
public                                 3
telephone                              1
estate                                 1

Totals:                     62        76
