Token                          Frequency
-----------------------------  ---------
to                                     3
might                                  1
can                                    1
provide                                1
writing                                2
flow                                   1
of                                     2
possible                               1
allowing                               1
written                                1
write                                  1
whenever                               1
read                                   1
do                                     1
points                                 1
key                                    1
be                                     1
respondent                             1
appropriate                            1
however                                1
let                                    1
a                                      2
answer                                 1
questions                              3
list                                   2
the                                    3
wants                                  1
not                                    1
opportunity                            1
interviewer                            1
interview                              2
discuss                                1
an                                     2
inadvertently                          1
freely                                 1
down                                   3
fabricate                              1

Totals:                     37        51
