Token                          Frequency
-----------------------------  ---------
to                                     1
client                                 1
perform                                1
sources                                1
of                                     2
open                                   1
help                                   1
internally                             1
more                                   1
top-level                              1
intelligence                           1
work                                   1
information                            2
support                                1
trend                                  1
or                                     1
generates                              1
organized                              1
and                                    3
further                                1
that                                   2
earlier                                1
efforts                                1
them                                   1
cross-referenced                       1
doing                                  1
ci                                     1
previously                             1
make                                   1
i2                                     2
rapidly                                1
knowledge                              1
other                                  1
development                            1
can                                    3
mentioned                              1
decision                               1
enhance                                1
equation                               1
squeezing                              1
similar                                1
functions                              1
with                                   1
is                                     2
it                                     1
a                                      2
into                                   1
community                              1
at                                     1
as                                     1
the                                    4
growing                                1
figures                                1
in                                     1
database                               1
multiplier                             1
pattern                                1
effect                                 1
additional                             1
databases                              1
discussed                              1
clearly                                1
also                                   1
out                                    1

Totals:                     64        77
