Token                          Frequency
-----------------------------  ---------
chronologically                        1
cover-up                               1
store                                  2
shipment                               1
developed                              1
jewelry                                1
accounting                             1
answered                               1
missing                                2
passengers                             1
time                                   7
over                                   2
event                                  1
2011                                   4
duties                                 1
collision                              1
these                                  1
asked                                  1
duplicate                              1
engine                                 1
death                                  7
answer                                 1
possibly                               1
shown                                  7
he                                     2
shows                                  1
purchased                              3
requested                              1
quality                                1
sequentially                           1
?                                     19
hospital                               1
gift                                   1
knowledge                              1
discloses                              1
before                                 3
made                                   2
handling                               1
discarded                              1
burial                                 1
aviation                               1
patient                                2
could                                  3
usually                                1
tell                                   1
do                                     8
shortage                               1
may                                    1
markets                                1
a                                     46
corroborated                           1
morning                                1
conspicuous                            1
fire                                   9
history                                3
red                                    2
what                                   1
having                                 4
public                                 1
coincide                               3
shooting                               1
warrant                                1
body                                   1
transactions                           4
physical                               3
drinking                               1
considerable                           1
change                                 1
took                                   1
by                                    15
transportation                         1
gunshot                                1
same                                   4
long                                   1
has                                    6
policies                               1
who                                    1
packaged                               1
height                                 1
medical                                1
would                                  2
deal                                   1
facts                                  2
any                                    2
invoices                               2
had                                    2
be                                     7
financial                              8
documented                             1
flames                                 1
claims                                 5
agent                                  2
rural                                  1
much                                   2
and                                   28
country                                3
sign                                   1
particularly                           1
differently                            1
items                                  3
names                                  2
examiners                              4
day                                    1
fast                                   1
large                                  4
does                                   5
insurance                             17
remember                               1
deliberately                           1
a&h                                    1
indication                             1
inferior                               1
garage                                 1
evidence                               4
purchase                               3
routine                                2
through                                2
business                               3
unnoticed                              1
flying                                 1
findings                               3
following                              1
area                                   1
especially                             3
waits                                  1
statements                             1
disability                             1
tries                                  1
employee                               1
all                                    1
activity                               1
speed                                  1
at                                     5
audit                                  1
as                                    11
inflicted                              1
hospitals                              1
entire                                 1
which                                  6
great                                  1
see                                    1
take                                   1
there                                  9
an                                    19
stabbings                              1
damaged                                1
suspicious                             1
heirlooms                              1
automobile                             1
no                                     6
package                                1
otherwise                              1
inception                              1
deliberate                             1
receipt                                1
carried                                1
shortly                                1
of                                    55
given                                  1
among                                  1
premises                               1
recently                               2
laboriously                            1
report                                 4
confined                               1
on                                    20
says                                   1
only                                   1
entering                               1
limit                                  1
reported                               3
numerous                               1
or                                    54
submitted                              1
questions                              3
health                                 1
include                                2
vacation                               1
earlier                                2
flea                                   1
them                                   1
burglary                               6
verifications                          1
will                                   2
scene                                  1
auto                                   1
reporting                              1
attorney                               2
records                                3
small                                  1
compartment                            1
incident                               1
upon                                   1
newspaper                              1
different                              2
series                                 1
home                                   4
accident                               5
don’t                                  1
pertinent                              1
vehicle                                1
pictures                               1
proof                                  1
most                                   1
occurred                               1
space                                  1
short                                  1
insistent                              1
apparent                               2
remaining                              1
rather                                 1
similar                                2
usual                                  1
pushy                                  1
receipts                               6
exceed                                 1
vague                                  2
appearing                              1
pressures                              2
walls                                  1
recall                                 1
item                                   1
inconsistent                           3
within                                 1
filed                                  3
marital                                1
produce                                1
cause                                  2
remains                                1
being                                  3
investigator                           1
underwriter                            1
carpet                                 1
authorization                          3
furniture                              1
every                                  1
where                                  5
fraud                                 10
type                                   1
procedures                             1
caused                                 1
related                                1
shipping                               2
more                                   3
substantiate                           1
his                                    2
family                                 1
value                                  1
official                               1
difficulties                           2
applications                           1
investigation                          1
credit                                 2
required                               2
protection                             1
such                                   4
fatal                                  1
issued                                 1
damage                                 1
designated                             1
heavy                                  1
repairing                              1
amounts                                1
owner                                  2
applicant                              2
involving                              1
manuals                                1
this                                   2
accelerant                             1
alteration                             1
lost                                   2
loss                                  12
hooks                                  1
from                                   8
includes                               2
was                                    7
while                                  1
if                                     3
able                                   1
supportive                             1
driver                                 1
underwriting                           1
drug                                   2
those                                  1
is                                    38
application                            8
it                                     7
added                                  1
standard                               1
into                                   2
problem                                2
list                                   1
past                                   1
know                                   1
in                                    22
database                               1
away                                   1
electrical                             1
insists                                1
wrong                                  1
breaking                               1
claimant                               5
appear                                 2
treatment                              1
etc                                    2
equipment                              1
we’re                                  1
received                               1
its                                    2
hung                                   1
exactly                                1
hide                                   1
nature                                 1
gutted                                 1
photocopies                            1
stamps                                 1
place                                  2
serious                                1
signature                              2
suicide                                1
disassembling                          1
signs                                  2
books                                  2
exits                                  1
going                                  1
contents                               1
adequate                               1
under                                  2
observes                               1
system                                 1
price                                  1
prescriptions                          1
unusually                              1
lot                                    1
conflict                               2
documentary                            1
indicates                              1
theft                                  3
prescription                           1
give                                   1
fails                                  1
expensive                              3
